prenom,nom,age,genre,filiere,annee_etude,bac_serie,mention_bac,boursier,taux_presence,nb_absences,heures_travail_sem,participation_cours,nb_devoirs_rendus,note_partiel_mi,utilisation_biblio,groupe_etude,ressources_ligne,job_etudiant,heures_job_sem,distance_univ,transport,soutien_famille,stress_percu,sante_percue,sport_regulier,espace_travail,note_finale,mention
Hirche Luca,Dupont,23,M,Droit,L3,Général,0,1,97.4,0,10,3,11,9.05,1,1,0,1,30,19.6,Transport en commun,4,5,8,0,1,10.35,Moyen
Eva,Essabe mbome oye,21,F,Sciences,L3,Général,2,1,72.0,6,11,3,10,7.04,1,0,1,1,25,71.2,Logement sur place,2,7,4,1,1,6.87,Faible
Manon,Montanary,23,F,Lettres,M1,Technologique,0,1,67.6,3,14,3,11,18.53,2,1,1,1,20,17.7,Transport en commun,4,8,4,0,1,12.69,Bon
Manon,Piquer,22,F,Psychologie,M1,Général,2,1,61.5,6,7,2,12,15.98,0,1,1,1,20,38.4,Voiture,1,7,6,1,0,9.18,Moyen
Ousmane,Essabe mbome oye,23,M,Informatique,M2,Général,1,0,98.6,1,3,1,8,17.32,2,0,0,0,0,7.2,Transport en commun,5,8,8,1,1,12.0,Moyen
Youssef,Tourret,21,M,Psychologie,L2,Général,2,0,88.9,3,13,0,9,10.42,4,0,1,0,0,9.4,Transport en commun,5,1,6,0,1,11.55,Moyen
Balla,Attias,21,M,Informatique,L2,Général,3,0,89.7,2,9,2,8,8.94,0,1,1,0,0,42.6,Voiture,3,3,7,0,1,11.51,Moyen
Delicia,Traye Balezin,20,F,Psychologie,L2,Général,1,0,70.0,3,9,3,12,16.89,1,1,1,0,0,25.5,Voiture,4,4,7,0,1,13.11,Bon
Safiatou,Tourret,21,F,Mathematiques,L1,Général,3,1,45.9,6,8,0,8,11.12,1,0,1,1,16,71.7,Logement sur place,4,4,7,1,0,6.84,Faible
Mariamari,Tchibozo houessou,21,F,Psychologie,L3,Général,1,0,49.6,5,12,2,9,6.77,2,0,1,1,8,26.8,Voiture,5,4,10,0,1,6.8,Faible
Cheikh,Sossoumihen,21,M,Droit,L1,Général,2,1,74.9,3,6,2,12,7.03,4,0,0,0,0,10.7,Transport en commun,2,7,8,0,1,8.01,Moyen
Esther,Adjagbe,25,F,Informatique,M2,Général,2,0,65.6,3,10,3,12,9.57,1,0,1,1,20,13.6,Transport en commun,3,6,9,1,1,10.83,Moyen
Naela,Tourret,22,F,Gestion,L3,Général,2,0,63.8,4,7,2,6,10.72,0,1,0,0,0,41.5,Voiture,4,5,7,1,1,9.03,Moyen
Kouaho,Chan,22,M,Droit,L3,Technologique,4,0,79.5,2,8,1,11,11.11,1,1,0,1,25,14.4,Transport en commun,4,5,9,0,1,9.34,Moyen
Georges,Bensmaine,20,M,Gestion,L2,Général,1,1,90.2,2,13,1,11,10.1,0,0,0,1,16,5.3,Transport en commun,3,5,7,1,1,12.82,Bon
Koussaila,Lakhal,21,M,Psychologie,L1,Général,2,0,62.8,5,14,1,6,19.69,2,0,1,0,0,10.3,Transport en commun,4,5,3,1,1,13.32,Bon
